מילת_מפתח,ספירה,סוג,וариантים,וариантים_קשורים,קבוצת_מושג
חקירה,16,מילה,חקירה (10); חקירות (6),,
מן,16,מילה,מן (16),,
מתנחל,16,מילה,מתנחלים (12); המתנחלים (3); למתנחלים (1),אלימות מתנחל; טרור מתנחל,
עקירה,16,מונח_ידוע,עקירה (11); העקירה (4); ועקירה (1),,הזזה כפויה של אוכלוסייה ממקום מגורים או שהייה בהקשר של סכסוך ופעולה מדינתית
האינתיפאדה,15,מילה,האינתיפאדה (12); האינתיפאדות (3),האינתיפאדה השנייה; מאז האינתיפאדה,
המבקש,15,מילה,המבקשים (11); המבקש (4),,
המתייחס,15,מילה,המתייחסים (10); המתייחס (5),מתייחס,
ופרשנים,15,מילה,ופרשנים (15),ופרשנים ועיתונאים; פרשנים,
מחקר,15,מילה,מחקר (15),ומכוני מחקר,
מעצר,15,מילה,מעצר (9); מעצרים (6),מעצר מנהלי,
מקלט,15,מילה,מקלט (15),מבקשי מקלט,
משפט בינלאומי,15,ביטוי,במשפט הבינלאומי (8); המשפט הבינלאומי (4); משפט בינלאומי (2); במשפט בינלאומי (1),,
שימש,15,מילה,שימש (15),,
הצבא ומערכת,14,ביטוי,הצבא ומערכת (14),הצבא ומערכת ביטחון; ודוברי הצבא ומערכת; ודוברי הצבא ומערכת ביטחון; ישראל ודוברי הצבא ומערכת; הצבא,
הראשונה,14,מילה,הראשונות (7); הראשונה (7),שונה,
הרפורמה המשפטית,14,מונח_ידוע,והרפורמה המשפטית (7); הרפורמה המשפטית (7),,תוכנית לשינויים רחבים במערכת המשפט וביחסי הרשויות בישראל
התחזק,14,מילה,התחזק (14),,
ודוברי הצבא ומערכת,14,ביטוי,ודוברי הצבא ומערכת (14),ודוברי הצבא ומערכת ביטחון; ישראל ודוברי הצבא ומערכת; הצבא ומערכת; ודוברי הצבא; ודוברי; הצבא; ישראל ודוברי הצבא; ממשלות ישראל ודוברי הצבא,
ומערכת ביטחון,14,ביטוי,ומערכת הביטחון (14),הצבא ומערכת ביטחון; ודוברי הצבא ומערכת ביטחון; מערכת ביטחון; ביטחון,
ישראל ודוברי הצבא ומערכת,14,ביטוי,ישראל ודוברי הצבא ומערכת (14),ודוברי הצבא ומערכת; ישראל ודוברי הצבא; ישראל ודוברי; הצבא ומערכת; ודוברי הצבא; ודוברי; ישראל; הצבא,
מאבק,14,מילה,מאבק (10); מאבקים (4),,
משפחה,14,מילה,משפחות (11); משפחה (3),,
עולים,14,מונח_ידוע,עולים (12); העולים (1); בעולים (1),,הגעה של תושבי חוץ להשתקעות בישראל
ענישה,14,מונח_ידוע,ענישה (13); וענישה (1),,מדיניות אמצעים נגד אוכלוסייה או קבוצה לשם מניעה או תגובה
תקיפה,14,מילה,תקיפות (9); תקיפה (5),,
ופוליטיקאים,13,מילה,ופוליטיקאים (13),הישראלי ופוליטיקאים; ופוליטיקאים ישראלים; פוליטיקאים,
חיים,13,מילה,חיים (13),תנאי חיים,
יאסין,13,מילה,יאסין (13),דיר יאסין; טבח דיר יאסין; כיבוש דיר יאסין; פרשת דיר יאסין,
ישראל עולם,13,ביטוי,בישראל ובעולם (13),ישראל; עולם,
כפר,13,מילה,כפרים (8); כפר (5),,
מבצע,13,מונח_ידוע,מבצע (6); מבצעים (5); המבצע (1); במבצע (1),מבצעי; מבצעית; פעולה מבצעית,עימות צבאי מתמשך נגד יריב סביב מטרה אסטרטגית אחת או יותר
מעורבים,13,מילה,מעורבים (13),פגיעה בבלתי מעורבים,
מעלים,13,מילה,מעלים (13),,
משטר,13,מילה,משטר (8); המשטר (2); ומשטרים (1); למשטר (1); במשטר (1),ההפיכה המשטרית; משטרה,
האחרונות,12,מילה,האחרונות (12),,
הצבא ומערכת ביטחון,12,ביטוי,הצבא ומערכת הביטחון (12),ודוברי הצבא ומערכת ביטחון; ומערכת ביטחון; מערכת ביטחון; הצבא ומערכת; ביטחון; הצבא,
הרתעה,12,מונח_ידוע,הרתעה (9); ההרתעה (2); בהרתעה (1),,מדיניות אמצעים נגד אוכלוסייה או קבוצה לשם מניעה או תגובה
ודוברי הצבא ומערכת ביטחון,12,ביטוי,ודוברי הצבא ומערכת הביטחון (12),הצבא ומערכת ביטחון; ודוברי הצבא ומערכת; ומערכת ביטחון; מערכת ביטחון; הצבא ומערכת; ודוברי הצבא; ביטחון; ודוברי,
כתבות,12,מילה,כתבות (12),,
מאחזים,12,מונח_ידוע,מאחזים (10); המאחזים (1); ומאחזים (1),,היישובים היהודיים בגדה
מטרה,12,מילה,מטרות (9); מטרה (3),במטרה,
מכוון,12,מילה,מכוון (12),,
מלחמת העצמאות,12,מונח_ידוע,מלחמת העצמאות (12),,המלחמה על עתיד הארץ והקמת מדינת ישראל 1947–1949
מסמך,12,מילה,מסמכים (7); במסמכים (3); ובמסמכים (1); ומסמכים (1),מסמך רשמיים,
משטרה,12,מילה,המשטרה (6); והמשטרה (4); כמשטרה (1); משטרה (1),משטר,
נשק,12,מילה,הנשק (9); נשק (2); כנשק (1),,
סחורות,12,מילה,סחורות (12),,
עולם,12,מילה,בעולם (6); העולם (6),ישראל עולם,
עימות,12,מילה,עימותים (7); עימות (5),העימות; קו העימות,
קבוע,12,מילה,קבוע (9); קבועים (3),,
